	epoch	time
0	0	0 days 00:00:01.564351
1	1	0 days 00:00:01.510871
2	2	0 days 00:00:01.580050
3	3	0 days 00:00:01.795889
4	4	0 days 00:00:01.609198
5	5	0 days 00:00:01.708657
6	6	0 days 00:00:01.573927
7	7	0 days 00:00:01.594739
8	8	0 days 00:00:01.576485
9	9	0 days 00:00:01.552790
10	10	0 days 00:00:01.580171
11	11	0 days 00:00:01.499183
12	12	0 days 00:00:01.661633
13	13	0 days 00:00:01.624680
14	14	0 days 00:00:01.462323
15	15	0 days 00:00:01.611118
16	16	0 days 00:00:01.781257
17	17	0 days 00:00:01.567961
18	18	0 days 00:00:02.372037
19	19	0 days 00:00:02.439666
20	20	0 days 00:00:02.297588
21	21	0 days 00:00:02.261557
22	22	0 days 00:00:02.078817
23	23	0 days 00:00:02.479527
24	24	0 days 00:00:02.147920
25	25	0 days 00:00:02.337212
26	26	0 days 00:00:02.217854
27	27	0 days 00:00:02.053507
28	28	0 days 00:00:02.208989
29	29	0 days 00:00:02.246737
30	30	0 days 00:00:02.123420
31	31	0 days 00:00:02.089721
32	32	0 days 00:00:02.101807
33	33	0 days 00:00:02.160844
34	34	0 days 00:00:02.072341
35	35	0 days 00:00:02.229046
36	36	0 days 00:00:02.081206
37	37	0 days 00:00:02.073843
38	38	0 days 00:00:02.026904
39	39	0 days 00:00:03.430846
40	40	0 days 00:00:02.268861
41	41	0 days 00:00:02.338503
42	42	0 days 00:00:02.130773
43	43	0 days 00:00:01.566535
44	44	0 days 00:00:01.429870
45	45	0 days 00:00:01.426172
46	46	0 days 00:00:01.625253
47	47	0 days 00:00:01.445581
48	48	0 days 00:00:01.432675
49	49	0 days 00:00:01.467589
50	50	0 days 00:00:01.443570
51	51	0 days 00:00:01.388979
52	52	0 days 00:00:01.375333
53	53	0 days 00:00:01.351425
54	54	0 days 00:00:01.427931
55	55	0 days 00:00:01.393112
56	56	0 days 00:00:01.366586
57	57	0 days 00:00:01.362575
58	58	0 days 00:00:01.438863
59	59	0 days 00:00:01.903832
60	60	0 days 00:00:01.489637
61	61	0 days 00:00:02.192546
62	62	0 days 00:00:01.728344
63	63	0 days 00:00:01.910360
64	64	0 days 00:00:02.314872
65	65	0 days 00:00:02.081221
66	66	0 days 00:00:02.018060
67	67	0 days 00:00:02.033944
68	68	0 days 00:00:02.045704
69	69	0 days 00:00:02.050286
70	70	0 days 00:00:02.085160
71	71	0 days 00:00:02.072010
72	72	0 days 00:00:02.001643
73	73	0 days 00:00:01.966470
74	74	0 days 00:00:02.047624
75	75	0 days 00:00:02.073207
76	76	0 days 00:00:02.226454
77	77	0 days 00:00:01.499336
78	78	0 days 00:00:01.576752
79	79	0 days 00:00:01.442521
80	80	0 days 00:00:01.438338
81	81	0 days 00:00:01.411270
82	82	0 days 00:00:01.417417
83	83	0 days 00:00:01.425280
84	84	0 days 00:00:01.387274
85	85	0 days 00:00:01.363192
86	86	0 days 00:00:02.975443
87	87	0 days 00:00:02.058474
88	88	0 days 00:00:01.645489
89	89	0 days 00:00:01.909230
90	90	0 days 00:00:01.515147
91	91	0 days 00:00:01.487864
92	92	0 days 00:00:01.424514
93	93	0 days 00:00:01.384826
94	94	0 days 00:00:01.386199
95	95	0 days 00:00:01.384787
96	96	0 days 00:00:01.630460
97	97	0 days 00:00:01.650112
98	98	0 days 00:00:01.388723
99	99	0 days 00:00:01.351700
