,x_input
27,"[0.03399992, 0.04299998, 0.03299999, 0.04399991, 0.03499997, 0.03999996, 0.05199993, 0.05299997, 0.05499995, 0.04100001, 0.06699991, 0.04399991, 0.04199994, 0.05400002, 0.05499995, 0.05999994]"
28,"[0.05699992, 0.02399993, 0.03299999, 0.02899992, 0.01999998, 0.02600002, 0.04799998, 0.04899991, 0.04499996, 0.03799999, 0.06499994, 0.04799998, 0.04100001, 0.05699992, 0.04100001, 0.04299998]"
29,"[0.02999997, 0.02100003, 0.02999997, 0.01399994, 0.01699996, 0.01899993, 0.046, 0.04399991, 0.03699994, 0.03199995, 0.05199993, 0.04199994, 0.03999996, 0.05599999, 0.03699994, 0.03999996]"
30,"[0.02899992, 0.02999997, 0.03999996, 0.01899993, 0.02199996, 0.01999998, 0.03499997, 0.03100002, 0.02100003, 0.02999997, 0.03100002, 0.03100002, 0.02600002, 0.028, 0.02399993, 0.01899993]"
31,"[0.02899992, 0.02899992, 0.03299999, 0.01699996, 0.02100003, 0.01199996, 0.03600001, 0.03499997, 0.023, 0.02499998, 0.03299999, 0.02199996, 0.01399994, 0.028, 0.02100003, 0.01600003]"
32,"[0.02499998, 0.02699995, 0.028, 0.01499999, 0.01699996, 0.01399994, 0.02999997, 0.02899992, 0.02199996, 0.02499998, 0.02399993, 0.01899993, 0.01199996, 0.01899993, 0.02600002, 0.01999998]"
33,"[0.02399993, 0.023, 0.02999997, 0.01600003, 0.01800001, 0.01600003, 0.02899992, 0.028, 0.01999998, 0.02100003, 0.02600002, 0.01600003, 0.01099992, 0.01699996, 0.02899992, 0.01999998]"
34,"[0.03100002, 0.028, 0.0, 0.02100003, 0.02600002, 0.02199996, 0.03199995, 0.02499998, 0.02100003, 0.02399993, 0.02899992, 0.01600003, 0.01199996, 0.01999998, 0.028, 0.023]"
35,"[0.03999996, 0.03699994, 0.04399991, 0.02999997, 0.03199995, 0.028, 0.04199994, 0.03699994, 0.02999997, 0.02899992, 0.03899992, 0.02600002, 0.01600003, 0.02699995, 0.03499997, 0.03600001]"
36,"[0.04499996, 0.04299998, 0.03799999, 0.03899992, 0.03899992, 0.03199995, 0.04299998, 0.04199994, 0.03600001, 0.03799999, 0.04899991, 0.03100002, 0.02100003, 0.02699995, 0.051, 0.04999995]"
37,"[0.051, 0.04699993, 0.05499995, 0.04499996, 0.04399991, 0.03899992, 0.04799998, 0.046, 0.04299998, 0.04100001, 0.05599999, 0.03299999, 0.03100002, 0.04399991, 0.05499995, 0.05699992]"
38,"[0.05499995, 0.05499995, 0.05400002, 0.04699993, 0.051, 0.04299998, 0.051, 0.04999995, 0.051, 0.04799998, 0.05699992, 0.02699995, 0.02999997, 0.05999994, 0.06299996, 0.05799997]"
39,"[0.05599999, 0.05599999, 0.05299997, 0.04799998, 0.05499995, 0.04399991, 0.04999995, 0.051, 0.05499995, 0.04899991, 0.05499995, 0.028, 0.02999997, 0.05999994, 0.06499994, 0.05799997]"
40,"[0.05400002, 0.05699992, 0.04399991, 0.03899992, 0.046, 0.03799999, 0.04399991, 0.04799998, 0.04899991, 0.04799998, 0.051, 0.02899992, 0.03299999, 0.04399991, 0.04399991, 0.04299998]"
41,"[0.03100002, 0.04100001, 0.03799999, 0.02600002, 0.02100003, 0.03299999, 0.02600002, 0.03499997, 0.03600001, 0.046, 0.04199994, 0.023, 0.02399993, 0.05299997, 0.04100001, 0.03199995]"
42,"[0.02600002, 0.03299999, 0.03299999, 0.03199995, 0.02899992, 0.03299999, 0.03799999, 0.04499996, 0.03600001, 0.03600001, 0.05199993, 0.023, 0.04199994, 0.03799999, 0.03899992, 0.03499997]"
43,"[0.03699994, 0.03799999, 0.03399992, 0.02600002, 0.03600001, 0.02699995, 0.03600001, 0.04699993, 0.03600001, 0.03699994, 0.046, 0.01499999, 0.03499997, 0.01899993, 0.03999996, 0.03600001]"
44,"[0.03899992, 0.04100001, 0.03699994, 0.02199996, 0.03100002, 0.02699995, 0.03399992, 0.046, 0.04299998, 0.02999997, 0.03600001, 0.01899993, 0.03100002, 0.03799999, 0.04100001, 0.04100001]"
45,"[0.04699993, 0.03999996, 0.04100001, 0.02399993, 0.03399992, 0.02600002, 0.03899992, 0.04199994, 0.03600001, 0.01999998, 0.03600001, 0.023, 0.01499999, 0.04299998, 0.03100002, 0.02899992]"
46,"[0.04299998, 0.046, 0.04100001, 0.02600002, 0.03699994, 0.028, 0.03899992, 0.04199994, 0.04100001, 0.02499998, 0.04299998, 0.02100003, 0.02699995, 0.04399991, 0.03299999, 0.03999996]"
47,"[0.03799999, 0.04399991, 0.04100001, 0.03100002, 0.03299999, 0.02600002, 0.03999996, 0.04399991, 0.046, 0.03699994, 0.04799998, 0.02100003, 0.03100002, 0.046, 0.04499996, 0.04299998]"
48,"[0.04399991, 0.046, 0.04199994, 0.03600001, 0.03999996, 0.02899992, 0.04699993, 0.04999995, 0.05199993, 0.03999996, 0.05599999, 0.02699995, 0.03799999, 0.04899991, 0.04999995, 0.046]"
49,"[0.051, 0.04699993, 0.04899991, 0.04299998, 0.03999996, 0.03899992, 0.04799998, 0.05799997, 0.05900002, 0.04399991, 0.05999994, 0.02999997, 0.04399991, 0.05400002, 0.05299997, 0.04999995]"
50,"[0.06400001, 0.05900002, 0.051, 0.04399991, 0.04299998, 0.03699994, 0.04699993, 0.05900002, 0.05799997, 0.04299998, 0.06400001, 0.03799999, 0.046, 0.05699992, 0.051, 0.04899991]"
