,name_road,oldname_road,points
0,0,1186,"[(30.67324036, 104.0634855), (30.67187144, 104.0625021)]"
1,1,1187,"[(30.67295026, 104.0640141), (30.67324036, 104.0634855)]"
2,2,1188,"[(30.67394402, 104.064009), (30.67324036, 104.0634855)]"
3,3,1575,"[(30.67201962, 104.066047), (30.67295026, 104.0640141)]"
4,4,1860,"[(30.6743258, 104.0709467), (30.67514299, 104.0692409)]"
5,5,2091,"[(30.67059491, 104.0707136), (30.6717139, 104.0682796)]"
6,6,2621,"[(30.6717139, 104.0682796), (30.67201962, 104.066047)]"
7,7,2885,"[(30.67529443, 104.06481), (30.67394402, 104.064009)]"
8,8,3650,"[(30.66947157, 104.0657402), (30.66946366, 104.0663159)]"
9,9,3651,"[(30.66950393, 104.0681003), (30.66946366, 104.0663159)]"
10,10,3833,"[(30.67384238, 104.0840318), (30.67110531, 104.0821882)]"
11,11,3855,"[(30.67466021, 104.0621684), (30.67481854, 104.0623267)]"
12,12,3856,"[(30.67394402, 104.064009), (30.67481854, 104.0623267)]"
13,13,3857,"[(30.67607279, 104.0631321), (30.67481854, 104.0623267)]"
14,14,4192,"[(30.67517099, 104.055294), (30.67840135, 104.0577632)]"
15,15,4193,"[(30.67652495, 104.0579073), (30.67840135, 104.0577632)]"
16,16,4194,"[(30.67607279, 104.0631321), (30.67840135, 104.0577632)]"
17,17,4196,"[(30.68391526, 104.0601849), (30.67840135, 104.0577632)]"
18,18,4274,"[(30.682564, 104.064995), (30.68391526, 104.0601849)]"
19,19,4523,"[(30.6743258, 104.0709467), (30.67587069, 104.0719208)]"
20,20,4524,"[(30.67497315, 104.0738388), (30.67587069, 104.0719208)]"
21,21,4525,"[(30.67806439, 104.0679123), (30.67587069, 104.0719208)]"
22,22,4575,"[(30.67144791, 104.0632252), (30.67295026, 104.0640141)]"
23,23,4576,"[(30.67506014, 104.0653152), (30.67295026, 104.0640141)]"
24,24,4606,"[(30.66940919, 104.058001), (30.67074252, 104.0580009)]"
25,25,4607,"[(30.67321994, 104.0595661), (30.67074252, 104.0580009)]"
26,26,4608,"[(30.67416757, 104.0579058), (30.67074252, 104.0580009)]"
27,27,4739,"[(30.66940919, 104.058001), (30.66945889, 104.0597426)]"
28,28,4740,"[(30.66960555, 104.0629728), (30.66945889, 104.0597426)]"
29,29,4757,"[(30.67758218, 104.0758934), (30.67845521, 104.0734583)]"
30,30,4758,"[(30.67976462, 104.0690207), (30.67845521, 104.0734583)]"
31,31,4772,"[(30.67646893, 104.0666797), (30.67806439, 104.0679123)]"
32,32,4773,"[(30.67849467, 104.0667701), (30.67806439, 104.0679123)]"
33,33,4774,"[(30.67976462, 104.0690207), (30.67806439, 104.0679123)]"
34,34,4836,"[(30.6728792, 104.0698106), (30.6743258, 104.0709467)]"
35,35,4837,"[(30.67363721, 104.0726142), (30.6743258, 104.0709467)]"
36,36,5194,"[(30.66960555, 104.0629728), (30.66947157, 104.0657402)]"
37,37,5195,"[(30.67201962, 104.066047), (30.66947157, 104.0657402)]"
38,38,5338,"[(30.682564, 104.064995), (30.67976462, 104.0690207)]"
39,39,5363,"[(30.6728792, 104.0698106), (30.67202107, 104.0715214)]"
40,40,5367,"[(30.67529443, 104.06481), (30.67849467, 104.0667701)]"
41,41,5506,"[(30.6717139, 104.0682796), (30.66950393, 104.0681003)]"
42,42,5546,"[(30.67345172, 104.0683853), (30.6717139, 104.0682796)]"
43,43,5593,"[(30.67529443, 104.06481), (30.67607279, 104.0631321)]"
44,44,5714,"[(30.67416757, 104.0579058), (30.67517099, 104.055294)]"
45,45,5727,"[(30.67261623, 104.0608677), (30.67466021, 104.0621684)]"
46,46,5728,"[(30.67652495, 104.0579073), (30.67466021, 104.0621684)]"
47,47,5743,"[(30.67433953, 104.0835351), (30.67490618, 104.0813226)]"
48,48,5788,"[(30.67506014, 104.0653152), (30.67529443, 104.06481)]"
49,49,5829,"[(30.67506014, 104.0653152), (30.67646893, 104.0666797)]"
50,50,5830,"[(30.67514299, 104.0692409), (30.67646893, 104.0666797)]"
51,51,5836,"[(30.67144791, 104.0632252), (30.66960555, 104.0629728)]"
52,52,5857,"[(30.67321994, 104.0595661), (30.67416757, 104.0579058)]"
53,53,5858,"[(30.67652495, 104.0579073), (30.67416757, 104.0579058)]"
54,54,5877,"[(30.67187144, 104.0625021), (30.67144791, 104.0632252)]"
55,55,5891,"[(30.66959784, 104.0854869), (30.67168591, 104.0868417)]"
56,56,5892,"[(30.66997767, 104.08965), (30.67168591, 104.0868417)]"
57,57,5893,"[(30.67384238, 104.0840318), (30.67168591, 104.0868417)]"
58,58,5898,"[(30.67345172, 104.0683853), (30.67506014, 104.0653152)]"
59,59,5909,"[(30.67261623, 104.0608677), (30.67187144, 104.0625021)]"
60,60,5910,"[(30.67345172, 104.0683853), (30.6728792, 104.0698106)]"
61,61,5918,"[(30.67514299, 104.0692409), (30.67345172, 104.0683853)]"
62,62,5932,"[(30.67433953, 104.0835351), (30.67384238, 104.0840318)]"
63,63,5935,"[(30.67321994, 104.0595661), (30.67261623, 104.0608677)]"
