,x_input
29,"[0.69999993, 0.5999999, 0.5999999, 1.20000005, 1.39999986, 0.89999998, 1.20000005, 1.5, 1.0999999, 0.79999995, 1.5999999, 0.89999998, 1.39999986, 0.99999988, 0.89999998, 1.0999999]"
30,"[1.20000005, 0.5999999, 0.5999999, 1.20000005, 0.89999998, 0.5999999, 1.20000005, 1.29999995, 0.89999998, 0.79999995, 1.5999999, 0.79999995, 1.5, 1.0999999, 0.69999993, 0.79999995]"
31,"[0.69999993, 0.5999999, 0.5999999, 0.99999988, 0.69999993, 0.5, 0.79999995, 1.20000005, 0.89999998, 0.5999999, 1.20000005, 0.79999995, 1.39999986, 0.99999988, 0.69999993, 0.69999993]"
32,"[0.5999999, 0.5, 0.5, 0.99999988, 0.69999993, 0.5999999, 0.5, 1.20000005, 0.5999999, 0.69999993, 0.89999998, 0.79999995, 1.20000005, 0.69999993, 0.5999999, 0.5999999]"
33,"[0.5999999, 0.5, 0.5999999, 0.99999988, 0.5999999, 0.5, 0.5999999, 1.0999999, 0.5999999, 0.5999999, 0.69999993, 0.5999999, 0.89999998, 0.5, 0.5, 0.39999998]"
34,"[0.5999999, 0.5, 0.5, 0.89999998, 0.5999999, 0.39999998, 0.5999999, 1.0999999, 0.5999999, 0.5, 0.69999993, 0.5, 0.79999995, 0.5999999, 0.5, 0.39999998]"
35,"[0.5, 0.5, 0.39999998, 0.79999995, 0.5, 0.39999998, 0.39999998, 0.99999988, 0.5999999, 0.5, 0.5, 0.39999998, 0.79999995, 0.39999998, 0.5, 0.39999998]"
36,"[0.5, 0.5, -6e-08, 0.79999995, 0.5999999, 0.5, 0.39999998, 0.89999998, 0.5, 0.5, 0.5, 0.39999998, 0.79999995, 0.39999998, 0.5, 0.5]"
37,"[0.5999999, 0.5, 0.5, 0.89999998, 0.69999993, 0.5, 0.5, 0.99999988, 0.5999999, 0.5, 0.5, 0.69999993, 0.79999995, 0.5, 0.5999999, 0.5999999]"
38,"[0.69999993, 0.5, 0.5, 0.99999988, 0.79999995, 0.5999999, 0.5, 1.0999999, 0.69999993, 0.69999993, 0.69999993, 0.79999995, 0.89999998, 0.5, 0.69999993, 0.69999993]"
39,"[0.79999995, 0.5999999, 0.69999993, 1.0999999, 1.20000005, 0.69999993, 0.5999999, 1.0999999, 0.79999995, 0.69999993, 0.79999995, 0.69999993, 0.89999998, 0.79999995, 0.69999993, 0.69999993]"
40,"[0.89999998, 0.69999993, 0.69999993, 1.20000005, 1.79999995, 0.79999995, 0.69999993, 1.20000005, 0.89999998, 0.79999995, 0.79999995, 0.5999999, 0.99999988, 1.0999999, 0.89999998, 0.79999995]"
41,"[0.79999995, 0.79999995, 0.5999999, 1.0999999, 1.20000005, 0.69999993, 0.5999999, 1.20000005, 0.79999995, 0.69999993, 0.79999995, 0.69999993, 0.99999988, 0.89999998, 0.69999993, 0.69999993]"
42,"[0.5999999, 0.5999999, 0.5, 0.99999988, 0.5999999, 0.5999999, 0.5, 1.0999999, 0.69999993, 0.79999995, 0.69999993, 0.5999999, 0.89999998, 0.89999998, 0.5999999, 0.5]"
43,"[0.5999999, 0.5, 0.5, 0.99999988, 0.99999988, 0.5999999, 0.5, 1.29999995, 0.69999993, 0.5999999, 0.89999998, 0.5, 1.0999999, 0.5999999, 0.5999999, 0.5]"
44,"[0.69999993, 0.5999999, 0.5, 0.99999988, 1.39999986, 0.5999999, 0.5, 1.29999995, 0.69999993, 0.69999993, 0.89999998, 0.5, 0.99999988, 0.5, 0.5999999, 0.5]"
45,"[0.79999995, 0.69999993, 0.5999999, 0.89999998, 1.20000005, 0.5999999, 0.5, 1.29999995, 0.79999995, 0.5999999, 0.79999995, 0.5999999, 0.99999988, 0.69999993, 0.5999999, 0.5]"
46,"[0.89999998, 0.5999999, 0.5999999, 0.89999998, 1.39999986, 0.5999999, 0.5999999, 1.20000005, 0.69999993, 0.5, 0.79999995, 0.5999999, 0.79999995, 0.69999993, 0.5999999, 0.5]"
47,"[0.79999995, 0.5999999, 0.5999999, 0.89999998, 1.5, 0.5999999, 0.5, 1.20000005, 0.79999995, 0.5999999, 0.79999995, 0.5, 0.89999998, 0.79999995, 0.5999999, 0.5]"
48,"[0.69999993, 0.69999993, 0.5999999, 0.89999998, 1.39999986, 0.5, 0.5999999, 1.29999995, 0.79999995, 0.69999993, 0.79999995, 0.5999999, 0.89999998, 0.79999995, 0.5999999, 0.5999999]"
49,"[0.89999998, 0.69999993, 0.79999995, 0.99999988, 1.29999995, 0.89999998, 0.79999995, 1.5, 1.0999999, 0.79999995, 1.20000005, 0.5999999, 1.39999986, 0.99999988, 0.79999995, 0.79999995]"
50,"[1.20000005, 0.89999998, 0.79999995, 1.0999999, 1.39999986, 0.79999995, 0.89999998, 1.5999999, 1.20000005, 0.79999995, 1.70000005, 0.69999993, 1.5, 1.20000005, 0.79999995, 0.79999995]"
51,"[1.0999999, 0.79999995, 0.89999998, 0.99999988, 1.39999986, 0.5999999, 1.0999999, 1.5999999, 0.89999998, 0.5999999, 1.79999995, 0.89999998, 1.5, 0.89999998, 0.89999998, 0.79999995]"
52,"[1.29999995, 0.5999999, 0.79999995, 0.69999993, 0.99999988, 0.5, 0.99999988, 1.5, 1.20000005, 0.69999993, 1.0999999, 0.89999998, 1.29999995, 0.89999998, 0.69999993, 0.79999995]"
53,"[0.99999988, 0.5999999, 0.5999999, 0.5999999, 0.5999999, 0.5999999, 0.79999995, 1.5, 1.0999999, 0.79999995, 1.20000005, 0.79999995, 1.0999999, 0.69999993, 0.5999999, 0.5999999]"
54,"[0.5999999, 0.5999999, 0.5, 0.5999999, 0.5999999, 0.5, 0.5999999, 1.39999986, 0.79999995, 0.89999998, 1.0999999, 0.89999998, 1.20000005, 0.5999999, 0.5, 0.5]"
55,"[0.69999993, 0.79999995, 0.5, 0.5999999, 0.5999999, 0.39999998, 0.5, 1.0999999, 0.69999993, 0.69999993, 0.79999995, 0.89999998, 1.20000005, -6e-08, 0.5, 0.39999998]"
56,"[0.69999993, 0.5, 0.5, 0.5999999, 0.5999999, 0.39999998, 0.5, 1.0999999, 0.69999993, 0.5999999, 0.69999993, 0.69999993, 0.69999993, 0.79999995, 0.39999998, 0.39999998]"
57,"[0.69999993, 0.5, 0.5, 0.5, 0.5999999, 0.39999998, 0.5, 1.0999999, 0.69999993, 0.5999999, 0.79999995, -6e-08, 0.69999993, 0.69999993, 0.39999998, 0.5]"
58,"[0.5999999, 0.5, 0.5999999, 0.5, 0.5999999, 0.39999998, 0.5, 1.0999999, 0.69999993, 0.5999999, 0.69999993, -6e-08, 0.69999993, 0.69999993, 0.10000002, 0.5]"
59,"[0.79999995, 0.5, 0.5999999, 0.5999999, 0.99999988, 0.5, 0.5999999, 1.0999999, 0.69999993, 0.69999993, 0.69999993, 0.99999988, 0.69999993, 0.79999995, -6e-08, 0.5]"
60,"[1.0999999, 0.5999999, 0.5999999, 0.79999995, 1.39999986, 0.5999999, 0.5999999, 1.20000005, 0.79999995, 0.79999995, 0.79999995, 0.79999995, 0.5999999, 1.5, -6e-08, 0.69999993]"
61,"[0.69999993, 0.5999999, 0.69999993, 0.89999998, 0.99999988, 0.5999999, 0.5999999, 1.20000005, 0.89999998, 0.89999998, 0.69999993, 0.99999988, 0.5999999, 1.29999995, 0.79999995, 0.69999993]"
62,"[0.69999993, 0.5999999, 0.69999993, 0.79999995, 1.0999999, 0.5999999, 0.5999999, 1.20000005, 0.69999993, 0.69999993, 0.79999995, 0.69999993, 0.5999999, 0.99999988, 0.79999995, 0.69999993]"
63,"[0.79999995, 0.69999993, 0.5999999, 0.69999993, 1.39999986, 0.69999993, 0.69999993, 1.20000005, 0.89999998, 0.69999993, 0.99999988, 0.79999995, 0.69999993, 0.99999988, 0.79999995, 0.69999993]"
64,"[1.20000005, 0.99999988, 0.69999993, 0.69999993, 1.5, 0.69999993, 0.89999998, 1.39999986, 1.29999995, 0.79999995, 1.0999999, 0.5999999, 0.5999999, 1.20000005, 0.89999998, 0.69999993]"
65,"[1.20000005, 0.99999988, 0.79999995, 0.89999998, 1.5, 1.0999999, 1.0999999, 1.5999999, 1.39999986, 0.79999995, 1.0999999, 0.79999995, 0.69999993, 1.20000005, 0.99999988, 0.89999998]"
66,"[1.5, 0.89999998, 0.89999998, 0.99999988, 1.5999999, 1.39999986, 1.29999995, 1.5999999, 1.39999986, 0.89999998, 1.39999986, 0.89999998, 0.99999988, 1.0999999, 1.0999999, 1.29999995]"
67,"[1.70000005, 0.99999988, 1.20000005, 0.89999998, 1.5999999, 1.20000005, 1.29999995, 1.70000005, 1.39999986, 0.89999998, 1.29999995, 0.89999998, 0.99999988, 1.0999999, 1.39999986, 1.5]"
68,"[1.5999999, 1.0999999, 1.39999986, 0.99999988, 1.5, 1.29999995, 1.20000005, 1.5999999, 1.39999986, 0.79999995, 1.5, 0.79999995, 0.99999988, 1.0999999, 1.39999986, 1.5]"
69,"[1.29999995, 1.20000005, 1.0999999, 0.89999998, 1.5, 1.29999995, 0.99999988, 1.5, 1.20000005, 0.79999995, 1.29999995, 0.79999995, 0.99999988, 1.0999999, 1.5, 1.5]"
70,"[1.29999995, 1.0999999, 1.0999999, 0.99999988, 1.5, 1.29999995, 0.99999988, 1.5, 1.20000005, 0.99999988, 1.79999995, 0.79999995, 1.0999999, 1.0999999, 1.39999986, 1.79999995]"
71,"[1.70000005, 1.29999995, 1.0999999, 1.0999999, 1.39999986, 1.29999995, 0.99999988, 1.5, 1.20000005, 1.0999999, 2.0, 0.89999998, 1.20000005, 1.20000005, 1.39999986, 1.70000005]"
72,"[1.20000005, 1.29999995, 1.20000005, 0.99999988, 1.5999999, 1.39999986, 1.20000005, 1.5999999, 0.99999988, 1.0999999, 1.79999995, 0.89999998, 1.29999995, 1.29999995, 1.39999986, 2.0]"
73,"[1.29999995, 1.0999999, 1.20000005, 1.20000005, 1.79999995, 1.5, 1.39999986, 1.5, 1.20000005, 1.0999999, 1.70000005, 1.0999999, 1.20000005, 1.20000005, 1.5, 2.0]"
74,"[1.5, 1.39999986, 1.20000005, 1.20000005, 2.0, 1.5, 1.29999995, 1.5, 1.39999986, 1.0999999, 1.5999999, 1.29999995, 1.20000005, 1.39999986, 2.19999981, 1.70000005]"
75,"[1.39999986, 1.39999986, 0.99999988, 1.20000005, 1.39999986, 1.0999999, 1.0999999, 1.5999999, 1.39999986, 0.99999988, 1.0999999, 1.0999999, 1.0999999, 0.99999988, 1.0999999, 1.20000005]"
76,"[1.29999995, 1.29999995, 1.0999999, 1.20000005, 1.20000005, 1.0999999, 1.29999995, 1.70000005, 1.20000005, 0.89999998, 1.29999995, 1.0999999, 0.99999988, 0.89999998, 1.29999995, 1.0999999]"
77,"[1.29999995, 1.20000005, 0.99999988, 1.29999995, 1.29999995, 0.79999995, 1.0999999, 1.5999999, 1.20000005, 1.20000005, 1.29999995, 1.0999999, 1.0999999, 1.0999999, 0.79999995, 0.79999995]"
78,"[0.99999988, 0.79999995, 0.89999998, 0.99999988, 0.89999998, 0.69999993, 0.89999998, 0.79999995, 0.99999988, 0.89999998, 0.99999988, 0.99999988, 0.89999998, 0.99999988, 0.69999993, 0.5999999]"
79,"[0.89999998, 0.69999993, 0.69999993, 0.89999998, 0.89999998, 0.5999999, 0.79999995, 0.5999999, 0.89999998, -6e-08, 0.89999998, 0.79999995, 0.69999993, 0.79999995, 0.5999999, 0.5999999]"
