,name_road,oldname_road,points
0,0,1674,"[(30.66585121, 104.0810256), (30.66389343, 104.0798131)]"
1,1,1677,"[(30.66728632, 104.0819461), (30.66585121, 104.0810256)]"
2,2,3559,"[(30.66695776, 104.0748457), (30.66829634, 104.0756937)]"
3,3,3560,"[(30.66741927, 104.07744), (30.66829634, 104.0756937)]"
4,4,3562,"[(30.66974975, 104.0766779), (30.66829634, 104.0756937)]"
5,5,3653,"[(30.66389343, 104.0798131), (30.66468753, 104.0781096)]"
6,6,3654,"[(30.66566031, 104.0761884), (30.66468753, 104.0781096)]"
7,7,3655,"[(30.66658936, 104.0792781), (30.66468753, 104.0781096)]"
8,8,3904,"[(30.66162768, 104.0847123), (30.66383958, 104.0859453)]"
9,9,3905,"[(30.66401786, 104.0861632), (30.66383958, 104.0859453)]"
10,10,3906,"[(30.66419702, 104.0844988), (30.66383958, 104.0859453)]"
11,11,4669,"[(30.66503017, 104.0824686), (30.66585121, 104.0810256)]"
12,12,4670,"[(30.66658936, 104.0792781), (30.66585121, 104.0810256)]"
13,13,4809,"[(30.66323476, 104.0814139), (30.66389343, 104.0798131)]"
14,14,4991,"[(30.66658936, 104.0792781), (30.66813158, 104.0802769)]"
15,15,4992,"[(30.66728632, 104.0819461), (30.66813158, 104.0802769)]"
16,16,4993,"[(30.66903116, 104.0784525), (30.66813158, 104.0802769)]"
17,17,5350,"[(30.66741927, 104.07744), (30.66658936, 104.0792781)]"
18,18,5453,"[(30.66612382, 104.0765093), (30.66566031, 104.0761884)]"
19,19,5458,"[(30.66231551, 104.0833203), (30.66323476, 104.0814139)]"
20,20,5459,"[(30.66503017, 104.0824686), (30.66323476, 104.0814139)]"
21,21,5578,"[(30.66162768, 104.0847123), (30.66231551, 104.0833203)]"
22,22,5579,"[(30.66419702, 104.0844988), (30.66231551, 104.0833203)]"
23,23,5627,"[(30.66503017, 104.0824686), (30.66419702, 104.0844988)]"
24,24,5628,"[(30.66570422, 104.0852545), (30.66419702, 104.0844988)]"
25,25,5693,"[(30.66647581, 104.0834323), (30.66570422, 104.0852545)]"
26,26,5717,"[(30.66612382, 104.0765093), (30.66695776, 104.0748457)]"
27,27,5776,"[(30.66647581, 104.0834323), (30.66503017, 104.0824686)]"
28,28,5804,"[(30.66741927, 104.07744), (30.66612382, 104.0765093)]"
29,29,5870,"[(30.66741927, 104.07744), (30.66903116, 104.0784525)]"
30,30,5871,"[(30.66974975, 104.0766779), (30.66903116, 104.0784525)]"
31,31,5896,"[(30.66647581, 104.0834323), (30.66728632, 104.0819461)]"
