,name_road,oldname_road,points
0,0,1674,"[(30.66585121, 104.0810256), (30.66389343, 104.0798131)]"
1,1,1677,"[(30.66728632, 104.0819461), (30.66585121, 104.0810256)]"
2,2,3559,"[(30.66695776, 104.0748457), (30.66829634, 104.0756937)]"
3,3,3560,"[(30.66741927, 104.07744), (30.66829634, 104.0756937)]"
4,4,3562,"[(30.66974975, 104.0766779), (30.66829634, 104.0756937)]"
5,5,3653,"[(30.66389343, 104.0798131), (30.66468753, 104.0781096)]"
6,6,3654,"[(30.66566031, 104.0761884), (30.66468753, 104.0781096)]"
7,7,3655,"[(30.66658936, 104.0792781), (30.66468753, 104.0781096)]"
8,8,3904,"[(30.66162768, 104.0847123), (30.66383958, 104.0859453)]"
9,9,3905,"[(30.66401786, 104.0861632), (30.66383958, 104.0859453)]"
10,10,3906,"[(30.66419702, 104.0844988), (30.66383958, 104.0859453)]"
11,11,4114,"[(30.66903116, 104.0784525), (30.67048239, 104.0794847)]"
12,12,4115,"[(30.66967255, 104.0811962), (30.67048239, 104.0794847)]"
13,13,4116,"[(30.67124474, 104.0778208), (30.67048239, 104.0794847)]"
14,14,4669,"[(30.66503017, 104.0824686), (30.66585121, 104.0810256)]"
15,15,4670,"[(30.66658936, 104.0792781), (30.66585121, 104.0810256)]"
16,16,4809,"[(30.66323476, 104.0814139), (30.66389343, 104.0798131)]"
17,17,4991,"[(30.66658936, 104.0792781), (30.66813158, 104.0802769)]"
18,18,4992,"[(30.66728632, 104.0819461), (30.66813158, 104.0802769)]"
19,19,4993,"[(30.66903116, 104.0784525), (30.66813158, 104.0802769)]"
20,20,4994,"[(30.66967255, 104.0811962), (30.66813158, 104.0802769)]"
21,21,5210,"[(30.66501226, 104.0867203), (30.66809939, 104.0885456)]"
22,22,5211,"[(30.66959784, 104.0854869), (30.66809939, 104.0885456)]"
23,23,5296,"[(30.66647581, 104.0834323), (30.66808938, 104.0845712)]"
24,24,5297,"[(30.66959784, 104.0854869), (30.66808938, 104.0845712)]"
25,25,5298,"[(30.66967255, 104.0811962), (30.66808938, 104.0845712)]"
26,26,5350,"[(30.66741927, 104.07744), (30.66658936, 104.0792781)]"
27,27,5447,"[(30.66974975, 104.0766779), (30.67124474, 104.0778208)]"
28,28,5453,"[(30.66612382, 104.0765093), (30.66566031, 104.0761884)]"
29,29,5458,"[(30.66231551, 104.0833203), (30.66323476, 104.0814139)]"
30,30,5459,"[(30.66503017, 104.0824686), (30.66323476, 104.0814139)]"
31,31,5578,"[(30.66162768, 104.0847123), (30.66231551, 104.0833203)]"
32,32,5579,"[(30.66419702, 104.0844988), (30.66231551, 104.0833203)]"
33,33,5627,"[(30.66503017, 104.0824686), (30.66419702, 104.0844988)]"
34,34,5628,"[(30.66570422, 104.0852545), (30.66419702, 104.0844988)]"
35,35,5629,"[(30.6612243, 104.0854998), (30.66062918, 104.0867086)]"
36,36,5630,"[(30.66262974, 104.0880259), (30.66062918, 104.0867086)]"
37,37,5652,"[(30.6612243, 104.0854998), (30.66162768, 104.0847123)]"
38,38,5692,"[(30.66501226, 104.0867203), (30.66570422, 104.0852545)]"
39,39,5693,"[(30.66647581, 104.0834323), (30.66570422, 104.0852545)]"
40,40,5717,"[(30.66612382, 104.0765093), (30.66695776, 104.0748457)]"
41,41,5776,"[(30.66647581, 104.0834323), (30.66503017, 104.0824686)]"
42,42,5804,"[(30.66741927, 104.07744), (30.66612382, 104.0765093)]"
43,43,5840,"[(30.66401786, 104.0861632), (30.66262974, 104.0880259)]"
44,44,5870,"[(30.66741927, 104.07744), (30.66903116, 104.0784525)]"
45,45,5871,"[(30.66974975, 104.0766779), (30.66903116, 104.0784525)]"
46,46,5896,"[(30.66647581, 104.0834323), (30.66728632, 104.0819461)]"
47,47,5897,"[(30.66501226, 104.0867203), (30.66401786, 104.0861632)]"
