,x_input
0,"[16.35793304, 16.35793304, 12.86226368, 20.50147247, 10.85316372, 16.35793304, 20.50147247, 20.50147247, 34.56784439, 30.58232117, 20.50147247, 12.86226368, 16.35793304, 30.58232117, 12.86226368, 20.50147247, 25.40196991, 20.50147247, 20.50147247, 16.35793304, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 25.40196991]"
1,"[16.35793304, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 16.35793304, 16.35793304, 20.50147247, 30.58232117, 30.58232117, 20.50147247, 12.86226368, 16.35793304, 25.40196991, 16.35793304, 25.40196991, 25.40196991, 16.35793304, 20.50147247, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
2,"[16.35793304, 16.35793304, 12.86226368, 20.50147247, 36.45310974, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 10.85316372, 20.50147247, 12.86226368, 16.35793304, 30.58232117, 12.86226368, 20.50147247, 25.40196991, 16.35793304, 20.50147247, 16.35793304, 20.50147247, 20.50147247, 16.35793304, 16.35793304, 30.58232117]"
3,"[16.35793304, 16.35793304, 12.86226368, 20.50147247, 34.56784439, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 10.85316372, 16.35793304, 12.86226368, 20.50147247, 30.58232117, 12.86226368, 20.50147247, 30.58232117, 16.35793304, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
4,"[16.35793304, 16.35793304, 12.86226368, 25.40196991, 34.56784439, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 30.58232117, 12.86226368, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
5,"[20.50147247, 16.35793304, 12.86226368, 25.40196991, 10.85316372, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 25.40196991, 12.86226368, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117]"
6,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 20.50147247, 16.35793304, 20.50147247, 20.50147247, 34.56784439, 10.85316372, 25.40196991, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 10.85316372, 30.58232117, 20.50147247, 20.50147247, 20.50147247, 30.58232117, 20.50147247, 30.58232117, 20.50147247, 25.40196991]"
7,"[20.50147247, 20.50147247, 20.50147247, 25.40196991, 20.50147247, 16.35793304, 16.35793304, 20.50147247, 34.56784439, 10.85316372, 20.50147247, 20.50147247, 20.50147247, 30.58232117, 16.35793304, 25.40196991, 10.85316372, 25.40196991, 20.50147247, 20.50147247, 30.58232117, 20.50147247, 10.85316372, 20.50147247, 30.58232117]"
8,"[25.40196991, 20.50147247, 20.50147247, 30.58232117, 20.50147247, 20.50147247, 20.50147247, 20.50147247, 34.56784439, 30.58232117, 25.40196991, 20.50147247, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 10.85316372, 25.40196991, 25.40196991, 20.50147247, 30.58232117, 25.40196991, 30.58232117, 20.50147247, 30.58232117]"
9,"[20.50147247, 20.50147247, 16.35793304, 30.58232117, 20.50147247, 20.50147247, 16.35793304, 20.50147247, 34.56784439, 34.56784439, 20.50147247, 20.50147247, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 10.85316372, 25.40196991, 25.40196991, 20.50147247, 30.58232117, 25.40196991, 25.40196991, 20.50147247, 30.58232117]"
10,"[20.50147247, 20.50147247, 16.35793304, 30.58232117, 16.35793304, 20.50147247, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 20.50147247, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 30.58232117, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
11,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 16.35793304, 20.50147247, 16.35793304, 20.50147247, 34.56784439, 10.85316372, 20.50147247, 20.50147247, 20.50147247, 25.40196991, 12.86226368, 25.40196991, 30.58232117, 25.40196991, 20.50147247, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 10.85316372]"
12,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 16.35793304, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 10.85316372, 20.50147247, 20.50147247, 20.50147247, 25.40196991, 12.86226368, 10.85316372, 30.58232117, 20.50147247, 20.50147247, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117]"
13,"[20.50147247, 16.35793304, 12.86226368, 25.40196991, 16.35793304, 16.35793304, 16.35793304, 20.50147247, 30.58232117, 30.58232117, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 12.86226368, 34.56784439, 30.58232117, 20.50147247, 20.50147247, 16.35793304, 25.40196991, 20.50147247, 30.58232117, 16.35793304, 30.58232117]"
14,"[16.35793304, 20.50147247, 16.35793304, 25.40196991, 16.35793304, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 10.85316372, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 10.85316372, 25.40196991, 25.40196991, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991]"
15,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 16.35793304, 16.35793304, 16.35793304, 20.50147247, 30.58232117, 10.85316372, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 12.86226368, 30.58232117, 30.58232117, 30.58232117, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
16,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 16.35793304, 16.35793304, 16.35793304, 20.50147247, 34.56784439, 30.58232117, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 10.85316372, 30.58232117, 25.40196991, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 20.50147247, 20.50147247, 30.58232117]"
17,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 16.35793304, 16.35793304, 16.35793304, 20.50147247, 25.40196991, 10.85316372, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 30.58232117, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991]"
18,"[20.50147247, 16.35793304, 16.35793304, 30.58232117, 16.35793304, 16.35793304, 16.35793304, 20.50147247, 34.56784439, 10.85316372, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 10.85316372, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
19,"[20.50147247, 16.35793304, 16.35793304, 30.58232117, 16.35793304, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 25.40196991, 25.40196991, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117]"
20,"[16.35793304, 20.50147247, 16.35793304, 25.40196991, 10.85316372, 16.35793304, 16.35793304, 20.50147247, 30.58232117, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 25.40196991, 16.35793304, 10.85316372, 30.58232117, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 30.58232117]"
21,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 10.85316372, 16.35793304, 16.35793304, 20.50147247, 30.58232117, 10.85316372, 20.50147247, 12.86226368, 20.50147247, 30.58232117, 12.86226368, 25.40196991, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 25.40196991]"
22,"[20.50147247, 16.35793304, 12.86226368, 20.50147247, 10.85316372, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 10.85316372, 12.86226368, 20.50147247, 30.58232117, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 25.40196991]"
23,"[16.35793304, 16.35793304, 12.86226368, 20.50147247, 30.58232117, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 10.85316372, 12.86226368, 25.40196991, 30.58232117, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 25.40196991]"
24,"[16.35793304, 16.35793304, 16.35793304, 20.50147247, 30.58232117, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 30.58232117, 12.86226368, 25.40196991, 30.58232117, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991]"
25,"[16.35793304, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 25.40196991, 12.86226368, 20.50147247, 25.40196991, 16.35793304, 20.50147247, 30.58232117, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 20.50147247, 16.35793304, 20.50147247]"
26,"[20.50147247, 16.35793304, 12.86226368, 20.50147247, 30.58232117, 20.50147247, 16.35793304, 20.50147247, 34.56784439, 30.58232117, 25.40196991, 12.86226368, 20.50147247, 25.40196991, 16.35793304, 20.50147247, 30.58232117, 16.35793304, 25.40196991, 16.35793304, 30.58232117, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
27,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 34.56784439, 20.50147247, 16.35793304, 25.40196991, 30.58232117, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 25.40196991, 16.35793304, 30.58232117, 30.58232117, 20.50147247, 25.40196991, 20.50147247, 10.85316372, 20.50147247, 30.58232117, 20.50147247, 20.50147247]"
28,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 34.56784439, 20.50147247, 25.40196991, 25.40196991, 34.56784439, 30.58232117, 25.40196991, 12.86226368, 20.50147247, 25.40196991, 16.35793304, 10.85316372, 10.85316372, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 25.40196991, 25.40196991, 20.50147247, 20.50147247]"
29,"[25.40196991, 25.40196991, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 25.40196991, 25.40196991, 34.56784439, 10.85316372, 25.40196991, 16.35793304, 25.40196991, 30.58232117, 16.35793304, 30.58232117, 10.85316372, 25.40196991, 25.40196991, 25.40196991, 30.58232117, 25.40196991, 25.40196991, 25.40196991, 25.40196991]"
30,"[25.40196991, 20.50147247, 20.50147247, 10.85316372, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 34.56784439, 36.45310974, 25.40196991, 20.50147247, 25.40196991, 30.58232117, 20.50147247, 30.58232117, 10.85316372, 25.40196991, 25.40196991, 25.40196991, 30.58232117, 25.40196991, 30.58232117, 25.40196991, 30.58232117]"
31,"[25.40196991, 20.50147247, 20.50147247, 10.85316372, 20.50147247, 20.50147247, 20.50147247, 25.40196991, 36.45310974, 10.85316372, 25.40196991, 20.50147247, 25.40196991, 30.58232117, 16.35793304, 25.40196991, 34.56784439, 25.40196991, 25.40196991, 25.40196991, 10.85316372, 25.40196991, 34.56784439, 25.40196991, 30.58232117]"
32,"[20.50147247, 20.50147247, 20.50147247, 30.58232117, 16.35793304, 20.50147247, 20.50147247, 25.40196991, 10.85316372, 10.85316372, 25.40196991, 20.50147247, 25.40196991, 30.58232117, 16.35793304, 25.40196991, 10.85316372, 25.40196991, 25.40196991, 10.85316372, 30.58232117, 25.40196991, 30.58232117, 20.50147247, 10.85316372]"
33,"[20.50147247, 20.50147247, 16.35793304, 30.58232117, 16.35793304, 12.86226368, 20.50147247, 25.40196991, 10.85316372, 34.56784439, 20.50147247, 20.50147247, 20.50147247, 30.58232117, 12.86226368, 25.40196991, 30.58232117, 25.40196991, 25.40196991, 34.56784439, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117]"
34,"[20.50147247, 20.50147247, 16.35793304, 25.40196991, 12.86226368, 12.86226368, 16.35793304, 25.40196991, 10.85316372, 10.85316372, 20.50147247, 20.50147247, 20.50147247, 25.40196991, 16.35793304, 10.85316372, 10.85316372, 25.40196991, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117, 16.35793304, 25.40196991]"
35,"[20.50147247, 16.35793304, 12.86226368, 25.40196991, 12.86226368, 12.86226368, 16.35793304, 20.50147247, 30.58232117, 10.85316372, 20.50147247, 20.50147247, 20.50147247, 25.40196991, 16.35793304, 34.56784439, 10.85316372, 25.40196991, 25.40196991, 20.50147247, 30.58232117, 25.40196991, 25.40196991, 20.50147247, 10.85316372]"
36,"[20.50147247, 16.35793304, 10.85316372, 25.40196991, 16.35793304, 12.86226368, 16.35793304, 20.50147247, 10.85316372, 10.85316372, 20.50147247, 20.50147247, 20.50147247, 25.40196991, 16.35793304, 10.85316372, 30.58232117, 25.40196991, 25.40196991, 20.50147247, 25.40196991, 25.40196991, 30.58232117, 20.50147247, 30.58232117]"
37,"[20.50147247, 20.50147247, 20.50147247, 30.58232117, 16.35793304, 12.86226368, 16.35793304, 20.50147247, 34.56784439, 10.85316372, 20.50147247, 20.50147247, 20.50147247, 25.40196991, 16.35793304, 34.56784439, 30.58232117, 30.58232117, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
38,"[20.50147247, 20.50147247, 20.50147247, 30.58232117, 20.50147247, 12.86226368, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 36.45310974, 30.58232117, 30.58232117, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 30.58232117]"
39,"[25.40196991, 20.50147247, 20.50147247, 30.58232117, 36.45310974, 12.86226368, 16.35793304, 20.50147247, 34.56784439, 34.56784439, 20.50147247, 16.35793304, 20.50147247, 30.58232117, 16.35793304, 36.45310974, 30.58232117, 25.40196991, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 25.40196991]"
40,"[20.50147247, 20.50147247, 20.50147247, 25.40196991, 39.55387878, 12.86226368, 20.50147247, 25.40196991, 34.56784439, 34.56784439, 20.50147247, 16.35793304, 20.50147247, 34.56784439, 16.35793304, 36.45310974, 10.85316372, 25.40196991, 25.40196991, 20.50147247, 39.55387878, 25.40196991, 30.58232117, 25.40196991, 25.40196991]"
41,"[20.50147247, 20.50147247, 20.50147247, 25.40196991, 36.45310974, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 34.56784439, 20.50147247, 16.35793304, 20.50147247, 34.56784439, 16.35793304, 36.45310974, 34.56784439, 30.58232117, 25.40196991, 20.50147247, 10.85316372, 30.58232117, 10.85316372, 25.40196991, 30.58232117]"
42,"[20.50147247, 20.50147247, 20.50147247, 25.40196991, 30.58232117, 12.86226368, 16.35793304, 20.50147247, 36.45310974, 10.85316372, 20.50147247, 16.35793304, 20.50147247, 10.85316372, 16.35793304, 10.85316372, 10.85316372, 25.40196991, 25.40196991, 20.50147247, 30.58232117, 25.40196991, 20.50147247, 25.40196991, 25.40196991]"
43,"[20.50147247, 20.50147247, 20.50147247, 30.58232117, 16.35793304, 12.86226368, 16.35793304, 20.50147247, 34.56784439, 30.58232117, 20.50147247, 16.35793304, 20.50147247, 30.58232117, 16.35793304, 25.40196991, 25.40196991, 25.40196991, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117]"
