,x_input
17,"[20.54864311, 21.8074646, 18.55061531, 20.83813477, 20.54864311, 19.98046494, 20.2694912, 19.39068031, 20.83813477, 19.98046494, 20.54864311, 23.25364685, 25.30177879, 20.83813477, 20.2694912, 20.2694912, 20.54864311, 21.14830399, 20.2694912, 21.14830399, 20.54864311, 21.8074646, 20.2694912, 18.82203674, 19.10808182]"
18,"[21.14830399, 21.14830399, 19.10808182, 21.14830399, 19.98046494, 19.68270874, 20.54864311, 19.10808182, 20.83813477, 19.98046494, 22.13050461, 25.03480911, 24.54292679, 21.14830399, 19.39068031, 20.2694912, 20.2694912, 19.98046494, 19.98046494, 20.54864311, 19.68270874, 20.2694912, 19.39068031, 19.10808182, 19.10808182]"
19,"[23.25364685, 24.08553505, 21.14830399, 22.48814392, 20.83813477, 20.54864311, 23.25364685, 20.54864311, 22.85423088, 21.49539566, 24.54292679, 26.47286415, 25.03480911, 21.49539566, 19.98046494, 21.8074646, 20.54864311, 20.54864311, 19.98046494, 21.14830399, 21.14830399, 21.8074646, 20.83813477, 20.83813477, 20.54864311]"
20,"[23.25364685, 24.54292679, 20.2694912, 22.85423088, 21.8074646, 19.68270874, 23.25364685, 20.54864311, 22.85423088, 21.49539566, 23.67345047, 24.54292679, 25.03480911, 21.49539566, 19.68270874, 21.8074646, 20.83813477, 21.14830399, 18.82203674, 21.14830399, 20.83813477, 21.49539566, 20.83813477, 20.2694912, 21.14830399]"
21,"[22.48814392, 23.67345047, 19.68270874, 23.25364685, 21.49539566, 18.82203674, 20.83813477, 19.68270874, 20.83813477, 20.83813477, 22.13050461, 21.14830399, 22.85423088, 20.54864311, 18.82203674, 20.2694912, 20.54864311, 20.54864311, 20.2694912, 20.54864311, 20.2694912, 21.49539566, 19.98046494, 19.68270874, 20.83813477]"
22,"[21.8074646, 21.8074646, 19.39068031, 20.54864311, 19.10808182, 17.54592705, 19.39068031, 18.13277435, 20.83813477, 21.49539566, 19.10808182, 20.54864311, 20.2694912, 21.49539566, 19.39068031, 21.49539566, 20.2694912, 20.83813477, 20.83813477, 19.39068031, 19.98046494, 21.14830399, 19.68270874, 19.39068031, 21.14830399]"
23,"[20.83813477, 21.49539566, 20.2694912, 21.14830399, 19.68270874, 18.55061531, 19.98046494, 16.92640877, 20.54864311, 20.54864311, 17.54592705, 20.54864311, 22.13050461, 17.85599136, 19.39068031, 21.49539566, 20.83813477, 19.98046494, 20.54864311, 19.39068031, 20.2694912, 18.82203674, 19.39068031, 19.98046494, 18.82203674]"
24,"[19.98046494, 19.39068031, 19.39068031, 21.49539566, 18.13277435, 19.10808182, 19.68270874, 17.54592705, 20.54864311, 19.39068031, 16.92640877, 20.83813477, 23.25364685, 17.22476578, 19.39068031, 22.13050461, 20.54864311, 18.55061531, 20.2694912, 19.10808182, 19.98046494, 19.68270874, 18.55061531, 18.40847969, 17.85599136]"
25,"[19.39068031, 18.13277435, 18.82203674, 20.54864311, 17.85599136, 17.85599136, 19.68270874, 16.42340088, 19.39068031, 17.54592705, 15.50184059, 19.68270874, 17.85599136, 18.13277435, 17.54592705, 19.98046494, 20.83813477, 18.13277435, 18.55061531, 18.13277435, 18.82203674, 19.39068031, 18.82203674, 16.07157898, 15.50184059]"
26,"[18.13277435, 18.40847969, 19.98046494, 18.82203674, 9.62036705, 14.35023308, 17.54592705, 11.13674736, 14.35023308, 16.42340088, 15.50184059, 18.82203674, 14.35023308, 9.62036705, 16.42340088, 14.35023308, 19.10808182, 16.07157898, 18.40847969, 15.50184059, 16.42340088, 18.82203674, 9.62036705, 9.62036705, 15.50184059]"
