,name_road,oldname_road,points
0,0,369,"[(30.66139729, 104.0782286), (30.66062591, 104.0797902)]"
1,1,1578,"[(30.66386644, 104.0728306), (30.66310274, 104.0744995)]"
2,2,1674,"[(30.66585121, 104.0810256), (30.66389343, 104.0798131)]"
3,3,1677,"[(30.66728632, 104.0819461), (30.66585121, 104.0810256)]"
4,4,1830,"[(30.66389343, 104.0798131), (30.66139729, 104.0782286)]"
5,5,2391,"[(30.66139729, 104.0782286), (30.65990178, 104.0773122)]"
6,6,2904,"[(30.66221135, 104.0764857), (30.66139729, 104.0782286)]"
7,7,2905,"[(30.66310274, 104.0744995), (30.66221135, 104.0764857)]"
8,8,3413,"[(30.65916798, 104.078706), (30.66062591, 104.0797902)]"
9,9,3414,"[(30.65950096, 104.0821018), (30.66062591, 104.0797902)]"
10,10,3415,"[(30.66323476, 104.0814139), (30.66062591, 104.0797902)]"
11,11,3486,"[(30.66972895, 104.0723581), (30.67124245, 104.0733448)]"
12,12,3487,"[(30.66974975, 104.0766779), (30.67124245, 104.0733448)]"
13,13,3489,"[(30.67271422, 104.0744083), (30.67124245, 104.0733448)]"
14,14,3559,"[(30.66695776, 104.0748457), (30.66829634, 104.0756937)]"
15,15,3560,"[(30.66741927, 104.07744), (30.66829634, 104.0756937)]"
16,16,3561,"[(30.66972895, 104.0723581), (30.66829634, 104.0756937)]"
17,17,3562,"[(30.66974975, 104.0766779), (30.66829634, 104.0756937)]"
18,18,3652,"[(30.66221135, 104.0764857), (30.66468753, 104.0781096)]"
19,19,3653,"[(30.66389343, 104.0798131), (30.66468753, 104.0781096)]"
20,20,3654,"[(30.66566031, 104.0761884), (30.66468753, 104.0781096)]"
21,21,3655,"[(30.66658936, 104.0792781), (30.66468753, 104.0781096)]"
22,22,3745,"[(30.65811967, 104.0811576), (30.65673383, 104.0842535)]"
23,23,3746,"[(30.65815153, 104.0851728), (30.65673383, 104.0842535)]"
24,24,3804,"[(30.66451347, 104.0732972), (30.66615043, 104.0697966)]"
25,25,3806,"[(30.66829663, 104.0713876), (30.66615043, 104.0697966)]"
26,26,3830,"[(30.66967255, 104.0811962), (30.67110531, 104.0821882)]"
27,27,3831,"[(30.66959784, 104.0854869), (30.67110531, 104.0821882)]"
28,28,3832,"[(30.67192313, 104.0803937), (30.67110531, 104.0821882)]"
29,29,3904,"[(30.66162768, 104.0847123), (30.66383958, 104.0859453)]"
30,30,3905,"[(30.66401786, 104.0861632), (30.66383958, 104.0859453)]"
31,31,3906,"[(30.66419702, 104.0844988), (30.66383958, 104.0859453)]"
32,32,3957,"[(30.66262974, 104.0880259), (30.66187992, 104.0892991)]"
33,33,3958,"[(30.66368435, 104.0896351), (30.66187992, 104.0892991)]"
34,34,4114,"[(30.66903116, 104.0784525), (30.67048239, 104.0794847)]"
35,35,4115,"[(30.66967255, 104.0811962), (30.67048239, 104.0794847)]"
36,36,4116,"[(30.67124474, 104.0778208), (30.67048239, 104.0794847)]"
37,37,4117,"[(30.67192313, 104.0803937), (30.67048239, 104.0794847)]"
38,38,4563,"[(30.65886582, 104.083667), (30.65815153, 104.0851728)]"
39,39,4564,"[(30.66062918, 104.0867086), (30.65815153, 104.0851728)]"
40,40,4577,"[(30.66243375, 104.0719509), (30.66386644, 104.0728306)]"
41,41,4578,"[(30.66451347, 104.0732972), (30.66386644, 104.0728306)]"
