,name_road,oldname_road,points
0,0,369,"[(30.66139729, 104.0782286), (30.66062591, 104.0797902)]"
1,1,612,"[(30.6678427, 104.0662788), (30.66946366, 104.0663159)]"
2,2,646,"[(30.65744999, 104.0704498), (30.65608713, 104.0696195)]"
3,3,856,"[(30.6551454, 104.0688632), (30.65381329, 104.0677955)]"
4,4,1273,"[(30.65887109, 104.0617403), (30.65879461, 104.0633208)]"
5,5,1274,"[(30.66071793, 104.0617125), (30.65887109, 104.0617403)]"
6,6,1578,"[(30.66386644, 104.0728306), (30.66310274, 104.0744995)]"
7,7,1674,"[(30.66585121, 104.0810256), (30.66389343, 104.0798131)]"
8,8,1677,"[(30.66728632, 104.0819461), (30.66585121, 104.0810256)]"
9,9,1751,"[(30.66945889, 104.0597426), (30.66775043, 104.0599328)]"
10,10,1779,"[(30.66775043, 104.0599328), (30.66775544, 104.0630465)]"
11,11,1830,"[(30.66389343, 104.0798131), (30.66139729, 104.0782286)]"
12,12,2058,"[(30.66270572, 104.0618457), (30.66071793, 104.0617125)]"
13,13,2059,"[(30.6647108, 104.0632366), (30.66270572, 104.0618457)]"
14,14,2091,"[(30.67059491, 104.0707136), (30.6717139, 104.0682796)]"
15,15,2275,"[(30.66253637, 104.0649365), (30.6647108, 104.0632366)]"
16,16,2391,"[(30.66139729, 104.0782286), (30.65990178, 104.0773122)]"
17,17,2454,"[(30.65608713, 104.0696195), (30.6551454, 104.0688632)]"
18,18,2511,"[(30.65879461, 104.0633208), (30.65903044, 104.0647459)]"
19,19,2643,"[(30.65441931, 104.0722331), (30.65602721, 104.0733239)]"
20,20,2647,"[(30.65903044, 104.0647459), (30.65898704, 104.0685263)]"
21,21,2718,"[(30.65259729, 104.0741366), (30.6538646, 104.0719955)]"
22,22,2720,"[(30.6538646, 104.0719955), (30.65441931, 104.0722331)]"
23,23,2740,"[(30.66775544, 104.0630465), (30.6678427, 104.0662788)]"
24,24,2870,"[(30.65903044, 104.0647459), (30.6607499, 104.0649632)]"
25,25,2872,"[(30.6607499, 104.0649632), (30.66253637, 104.0649365)]"
