,name_road,oldname_road,points
0,0,314,"[(30.67914647, 104.0217392), (30.67849209, 104.022412)]"
1,1,369,"[(30.66139729, 104.0782286), (30.66062591, 104.0797902)]"
2,2,612,"[(30.6678427, 104.0662788), (30.66946366, 104.0663159)]"
3,3,646,"[(30.65744999, 104.0704498), (30.65608713, 104.0696195)]"
4,4,669,"[(30.68381535, 104.0361049), (30.68164203, 104.0406601)]"
5,5,856,"[(30.6551454, 104.0688632), (30.65381329, 104.0677955)]"
6,6,990,"[(30.68693798, 104.0498319), (30.69056278, 104.0488623)]"
7,7,1186,"[(30.67324036, 104.0634855), (30.67187144, 104.0625021)]"
8,8,1187,"[(30.67295026, 104.0640141), (30.67324036, 104.0634855)]"
9,9,1188,"[(30.67394402, 104.064009), (30.67324036, 104.0634855)]"
10,10,1273,"[(30.65887109, 104.0617403), (30.65879461, 104.0633208)]"
11,11,1274,"[(30.66071793, 104.0617125), (30.65887109, 104.0617403)]"
12,12,1575,"[(30.67201962, 104.066047), (30.67295026, 104.0640141)]"
13,13,1578,"[(30.66386644, 104.0728306), (30.66310274, 104.0744995)]"
14,14,1674,"[(30.66585121, 104.0810256), (30.66389343, 104.0798131)]"
15,15,1677,"[(30.66728632, 104.0819461), (30.66585121, 104.0810256)]"
16,16,1710,"[(30.67849209, 104.022412), (30.67793555, 104.0241872)]"
17,17,1748,"[(30.68739702, 104.0311269), (30.68488876, 104.034529)]"
18,18,1751,"[(30.66945889, 104.0597426), (30.66775043, 104.0599328)]"
19,19,1779,"[(30.66775043, 104.0599328), (30.66775544, 104.0630465)]"
20,20,1789,"[(30.67190071, 104.0387221), (30.67403805, 104.0400981)]"
21,21,1830,"[(30.66389343, 104.0798131), (30.66139729, 104.0782286)]"
22,22,1860,"[(30.6743258, 104.0709467), (30.67514299, 104.0692409)]"
23,23,2058,"[(30.66270572, 104.0618457), (30.66071793, 104.0617125)]"
24,24,2059,"[(30.6647108, 104.0632366), (30.66270572, 104.0618457)]"
25,25,2091,"[(30.67059491, 104.0707136), (30.6717139, 104.0682796)]"
26,26,2114,"[(30.67516952, 104.0255582), (30.67753043, 104.0261589)]"
27,27,2115,"[(30.67753043, 104.0261589), (30.67764865, 104.0293844)]"
28,28,2116,"[(30.67793555, 104.0241872), (30.67753043, 104.0261589)]"
29,29,2117,"[(30.67753043, 104.0261589), (30.67975536, 104.0267466)]"
30,30,2274,"[(30.69165952, 104.0545982), (30.68829729, 104.0566467)]"
31,31,2275,"[(30.66253637, 104.0649365), (30.6647108, 104.0632366)]"
32,32,2376,"[(30.67403805, 104.0400981), (30.6710722, 104.0460036)]"
33,33,2391,"[(30.66139729, 104.0782286), (30.65990178, 104.0773122)]"
34,34,2421,"[(30.69056278, 104.0488623), (30.69380317, 104.0483609)]"
35,35,2422,"[(30.69380317, 104.0483609), (30.69684411, 104.0472725)]"
36,36,2454,"[(30.65608713, 104.0696195), (30.6551454, 104.0688632)]"
37,37,2511,"[(30.65879461, 104.0633208), (30.65903044, 104.0647459)]"
38,38,2514,"[(30.69292497, 104.0546653), (30.69165952, 104.0545982)]"
39,39,2515,"[(30.69708848, 104.0548859), (30.69292497, 104.0546653)]"
40,40,2578,"[(30.67764865, 104.0293844), (30.67761252, 104.0310763)]"
41,41,2621,"[(30.6717139, 104.0682796), (30.67201962, 104.066047)]"
42,42,2643,"[(30.65441931, 104.0722331), (30.65602721, 104.0733239)]"
43,43,2647,"[(30.65903044, 104.0647459), (30.65898704, 104.0685263)]"
44,44,2699,"[(30.67627372, 104.0337804), (30.67482664, 104.0380169)]"
45,45,2700,"[(30.67761252, 104.0310763), (30.67627372, 104.0337804)]"
46,46,2718,"[(30.65259729, 104.0741366), (30.6538646, 104.0719955)]"
47,47,2720,"[(30.6538646, 104.0719955), (30.65441931, 104.0722331)]"
48,48,2740,"[(30.66775544, 104.0630465), (30.6678427, 104.0662788)]"
49,49,2775,"[(30.6718376, 104.0247463), (30.67516952, 104.0255582)]"
50,50,2870,"[(30.65903044, 104.0647459), (30.6607499, 104.0649632)]"
51,51,2872,"[(30.6607499, 104.0649632), (30.66253637, 104.0649365)]"
52,52,2885,"[(30.67529443, 104.06481), (30.67394402, 104.064009)]"
53,53,2904,"[(30.66221135, 104.0764857), (30.66139729, 104.0782286)]"
54,54,2905,"[(30.66310274, 104.0744995), (30.66221135, 104.0764857)]"
55,55,2916,"[(30.68488876, 104.034529), (30.68381535, 104.0361049)]"
56,56,3067,"[(30.68572405, 104.0444437), (30.6867731, 104.0439712)]"
57,57,3068,"[(30.68723173, 104.0428231), (30.6867731, 104.0439712)]"
58,58,3362,"[(30.67648682, 104.0192811), (30.67914647, 104.0217392)]"
59,59,3363,"[(30.68025139, 104.0229629), (30.67914647, 104.0217392)]"
60,60,3413,"[(30.65916798, 104.078706), (30.66062591, 104.0797902)]"
61,61,3414,"[(30.65950096, 104.0821018), (30.66062591, 104.0797902)]"
62,62,3415,"[(30.66323476, 104.0814139), (30.66062591, 104.0797902)]"
63,63,3486,"[(30.66972895, 104.0723581), (30.67124245, 104.0733448)]"
64,64,3487,"[(30.66974975, 104.0766779), (30.67124245, 104.0733448)]"
65,65,3488,"[(30.67202107, 104.0715214), (30.67124245, 104.0733448)]"
66,66,3489,"[(30.67271422, 104.0744083), (30.67124245, 104.0733448)]"
67,67,3519,"[(30.66266858, 104.0537493), (30.66779109, 104.0534762)]"
68,68,3520,"[(30.6693854, 104.0497155), (30.66779109, 104.0534762)]"
69,69,3521,"[(30.67093727, 104.0537252), (30.66779109, 104.0534762)]"
70,70,3543,"[(30.69708848, 104.0548859), (30.69713022, 104.0568862)]"
71,71,3544,"[(30.69292497, 104.0546653), (30.69713022, 104.0568862)]"
72,72,3556,"[(30.66826907, 104.0266969), (30.67140608, 104.0273319)]"
73,73,3557,"[(30.67099192, 104.0295701), (30.67140608, 104.0273319)]"
74,74,3558,"[(30.6718376, 104.0247463), (30.67140608, 104.0273319)]"
75,75,3559,"[(30.66695776, 104.0748457), (30.66829634, 104.0756937)]"
76,76,3560,"[(30.66741927, 104.07744), (30.66829634, 104.0756937)]"
77,77,3561,"[(30.66972895, 104.0723581), (30.66829634, 104.0756937)]"
78,78,3562,"[(30.66974975, 104.0766779), (30.66829634, 104.0756937)]"
79,79,3581,"[(30.68486415, 104.0427153), (30.68572405, 104.0444437)]"
80,80,3582,"[(30.68596676, 104.0455297), (30.68572405, 104.0444437)]"
81,81,3650,"[(30.66947157, 104.0657402), (30.66946366, 104.0663159)]"
82,82,3651,"[(30.66950393, 104.0681003), (30.66946366, 104.0663159)]"
83,83,3652,"[(30.66221135, 104.0764857), (30.66468753, 104.0781096)]"
84,84,3653,"[(30.66389343, 104.0798131), (30.66468753, 104.0781096)]"
85,85,3654,"[(30.66566031, 104.0761884), (30.66468753, 104.0781096)]"
86,86,3655,"[(30.66658936, 104.0792781), (30.66468753, 104.0781096)]"
87,87,3678,"[(30.66603272, 104.0433938), (30.66880677, 104.0451214)]"
88,88,3679,"[(30.6673649, 104.049146), (30.66880677, 104.0451214)]"
89,89,3680,"[(30.6710722, 104.0460036), (30.66880677, 104.0451214)]"
90,90,3681,"[(30.67190071, 104.0387221), (30.66880677, 104.0451214)]"
91,91,3682,"[(30.65684818, 104.0716869), (30.65744999, 104.0704498)]"
92,92,3683,"[(30.65841363, 104.0685349), (30.65744999, 104.0704498)]"
93,93,3684,"[(30.66099639, 104.0729025), (30.65744999, 104.0704498)]"
94,94,3702,"[(30.67962794, 104.0394068), (30.68164203, 104.0406601)]"
95,95,3703,"[(30.68304127, 104.0416006), (30.68164203, 104.0406601)]"
96,96,3744,"[(30.6563458, 104.085206), (30.65673383, 104.0842535)]"
97,97,3745,"[(30.65811967, 104.0811576), (30.65673383, 104.0842535)]"
98,98,3746,"[(30.65815153, 104.0851728), (30.65673383, 104.0842535)]"
99,99,3771,"[(30.65688755, 104.0583608), (30.65705933, 104.0634634)]"
100,100,3772,"[(30.65498885, 104.063511), (30.65705933, 104.0634634)]"
