,x_input
35,"[25.0, 25.0, 10.0, 16.0, 20.0, 24.0, 24.0, 21.0, 19.0, 17.0, 13.00000095, 19.0, 18.0, 24.0, 25.0, 25.0]"
36,"[27.0, 25.0, 22.0, 28.0, 27.0, 24.0, 25.0, 20.0, 25.0, 21.0, 16.0, 19.0, 21.0, 26.00000191, 25.0, 27.0]"
37,"[27.0, 27.0, 24.0, 28.0, 32.0, 27.0, 27.0, 23.0, 27.0, 26.00000191, 19.0, 24.0, 26.00000191, 29.99999809, 29.0, 27.0]"
38,"[29.99999809, 29.99999809, 28.0, 28.0, 38.0, 35.0, 31.00000191, 26.00000191, 33.0, 27.0, 19.0, 29.99999809, 27.0, 38.0, 34.0, 28.0]"
39,"[27.0, 31.00000191, 29.0, 25.0, 42.0, 35.0, 35.0, 28.0, 35.0, 28.0, 29.0, 29.0, 80.0, 36.0, 31.00000191, 28.0]"
40,"[28.0, 29.0, 26.00000191, 29.99999809, 38.0, 27.0, 27.0, 27.0, 36.0, 33.0, 25.0, 32.0, 25.0, 40.0, 29.99999809, 24.0]"
41,"[23.0, 29.99999809, 21.0, 22.0, 22.0, 27.0, 27.0, 14.99999905, 27.0, 28.0, 21.0, 29.99999809, 19.0, 36.0, 25.0, 22.0]"
42,"[20.0, 19.0, 17.0, 23.0, 20.0, 24.0, 19.0, 28.0, 22.0, 27.0, 23.0, 26.00000191, 26.00000191, 35.0, 22.0, 16.0]"
43,"[18.0, 21.0, 18.0, 23.0, 28.0, 21.0, 18.0, 26.00000191, 22.0, 23.0, 19.0, 22.0, 22.0, 25.0, 21.0, 17.0]"
44,"[21.0, 26.00000191, 20.0, 20.0, 24.0, 18.0, 22.0, 27.0, 25.0, 22.0, 17.0, 23.0, 24.0, 27.0, 21.0, 16.0]"
45,"[20.0, 23.0, 21.0, 14.99999905, 24.0, 21.0, 21.0, 21.0, 22.0, 21.0, 12.0, 22.0, 17.0, 31.00000191, 17.0, 16.0]"
46,"[19.0, 23.0, 20.0, 17.0, 24.0, 24.0, 24.0, 25.0, 22.0, 21.0, 18.0, 19.0, 18.0, 29.99999809, 19.0, 17.0]"
47,"[18.0, 22.0, 17.0, 14.0, 23.0, 20.0, 23.0, 26.00000191, 23.0, 22.0, 17.0, 20.0, 22.0, 33.0, 20.0, 19.0]"
48,"[17.0, 21.0, 17.0, 16.0, 26.00000191, 27.0, 32.0, 31.00000191, 26.00000191, 22.0, 18.0, 19.0, 29.0, 33.0, 23.0, 20.0]"
49,"[21.0, 22.0, 21.0, 16.0, 19.0, 25.0, 36.0, 35.0, 37.0, 28.0, 18.0, 20.0, 43.0, 46.0, 25.0, 21.0]"
50,"[23.0, 20.0, 25.0, 73.5, 21.0, 14.99999905, 37.0, 48.0, 37.0, 20.0, 25.0, 29.0, 42.0, 39.0, 21.0, 22.0]"
51,"[32.0, 22.0, 29.99999809, 73.5, 0.0, 18.0, 45.0, 38.0, 46.0, 22.0, 22.0, 45.0, 32.0, 38.0, 28.0, 25.0]"
52,"[35.0, 24.0, 24.0, 19.0, 21.0, 21.0, 44.0, 42.0, 56.0, 26.00000191, 25.0, 43.0, 26.00000191, 29.99999809, 28.0, 20.0]"
53,"[19.0, 21.0, 18.0, 20.0, 17.0, 11.0, 25.0, 20.0, 28.0, 35.0, 23.0, 44.0, 0.0, 0.0, 16.0, 18.0]"
54,"[21.0, 25.0, 16.0, 20.0, 20.0, 20.0, 27.0, 19.0, 29.0, 27.0, 14.99999905, 35.0, 32.0, 2.0, 16.0, 20.0]"
55,"[22.0, 21.0, 18.0, 19.0, 18.0, 11.0, 22.0, 18.0, 31.00000191, 23.0, 17.0, 0.0, 25.0, 33.0, 18.0, 16.0]"
56,"[20.0, 19.0, 21.0, 21.0, 19.0, 10.0, 25.0, 20.0, 29.0, 23.0, 19.0, 0.0, 27.0, 42.0, 1.0, 9.0]"
57,"[21.0, 18.0, 18.0, 23.0, 21.0, 14.0, 25.0, 18.0, 25.0, 22.0, 16.0, 13.00000095, 21.0, 31.00000191, 0.0, 29.99999809]"
58,"[21.0, 17.0, 16.0, 23.0, 28.0, 20.0, 29.99999809, 19.0, 23.0, 21.0, 16.0, 33.0, 20.0, 35.0, 0.0, 28.0]"
59,"[21.0, 22.0, 18.0, 20.0, 29.99999809, 25.0, 18.0, 23.0, 23.0, 26.00000191, 18.0, 29.0, 20.0, 33.0, 17.0, 27.0]"
60,"[22.0, 24.0, 24.0, 23.0, 27.0, 16.0, 25.0, 26.00000191, 27.0, 25.0, 23.0, 26.00000191, 19.0, 26.00000191, 25.0, 22.0]"
61,"[25.0, 25.0, 22.0, 19.0, 28.0, 24.0, 25.0, 88.0, 31.00000191, 28.0, 32.0, 33.0, 22.0, 35.0, 22.0, 21.0]"
62,"[26.00000191, 23.0, 22.0, 26.00000191, 31.00000191, 37.0, 36.0, 44.0, 46.0, 29.0, 27.0, 29.0, 29.0, 34.0, 28.0, 28.0]"
63,"[29.0, 25.0, 27.0, 24.0, 28.0, 35.0, 48.0, 39.0, 46.0, 29.0, 28.0, 29.99999809, 28.0, 32.0, 28.0, 29.0]"
64,"[29.0, 31.00000191, 38.0, 21.0, 32.0, 33.0, 47.00000381, 35.0, 35.0, 35.0, 25.0, 32.0, 27.0, 36.0, 39.0, 32.0]"
65,"[28.0, 29.0, 31.00000191, 23.0, 33.0, 33.0, 40.0, 29.0, 37.0, 32.0, 23.0, 29.99999809, 29.99999809, 33.0, 38.0, 34.0]"
66,"[31.00000191, 29.99999809, 35.0, 23.0, 29.99999809, 35.0, 40.0, 36.0, 39.0, 33.0, 27.0, 32.0, 33.0, 35.0, 42.0, 35.0]"
67,"[29.99999809, 32.0, 33.0, 24.0, 31.00000191, 36.0, 38.0, 31.00000191, 38.0, 33.0, 25.0, 36.0, 35.0, 38.0, 37.0, 35.0]"
68,"[29.0, 37.0, 38.0, 18.0, 36.0, 35.0, 40.0, 32.0, 37.0, 39.0, 34.0, 34.0, 40.0, 44.0, 38.0, 37.0]"
69,"[29.99999809, 34.0, 32.0, 27.0, 47.00000381, 43.0, 40.0, 33.0, 47.00000381, 36.0, 33.0, 42.0, 48.0, 41.0, 54.99999619, 53.0]"
70,"[37.0, 43.0, 43.0, 39.0, 40.0, 45.0, 45.0, 41.0, 53.0, 42.0, 31.00000191, 54.0, 58.0, 52.00000381, 65.0, 61.0]"
71,"[41.0, 44.0, 46.0, 39.0, 48.0, 40.0, 45.0, 44.0, 58.0, 43.0, 29.0, 59.99999619, 43.0, 53.0, 46.0, 52.00000381]"
72,"[44.0, 52.00000381, 44.0, 42.0, 48.0, 44.0, 50.0, 48.0, 64.0, 48.0, 31.00000191, 53.0, 46.0, 57.00000381, 54.0, 49.0]"
73,"[42.0, 48.0, 45.0, 54.0, 61.0, 49.0, 54.0, 43.0, 57.00000381, 44.0, 37.0, 53.0, 49.0, 54.99999619, 50.0, 48.0]"
74,"[53.0, 58.0, 59.0, 54.99999619, 62.00000381, 45.0, 59.0, 67.0, 73.0, 0.0, 45.0, 66.0, 56.0, 66.0, 43.0, 42.0]"
75,"[49.0, 47.00000381, 51.0, 54.99999619, 49.0, 42.0, 62.00000381, 47.00000381, 63.0, 34.0, 54.99999619, 62.00000381, 53.0, 71.0, 42.0, 34.0]"
76,"[36.0, 36.0, 41.0, 38.0, 48.0, 42.0, 46.0, 37.0, 47.00000381, 38.0, 33.0, 35.0, 36.0, 45.0, 41.0, 35.0]"
77,"[33.0, 32.0, 35.0, 34.0, 46.0, 63.0, 36.0, 38.0, 40.0, 35.0, 29.0, 41.0, 38.0, 46.0, 40.0, 34.0]"
78,"[40.0, 39.0, 43.0, 38.0, 49.0, 50.0, 44.0, 48.0, 44.0, 39.0, 40.0, 46.0, 46.0, 50.0, 45.0, 41.0]"
79,"[39.0, 43.0, 47.00000381, 42.0, 54.99999619, 54.0, 50.0, 50.0, 49.0, 43.0, 41.0, 47.00000381, 47.00000381, 53.0, 49.0, 51.0]"
80,"[42.0, 42.0, 48.0, 43.0, 62.00000381, 53.0, 57.00000381, 52.00000381, 54.0, 44.0, 43.0, 64.0, 76.0, 59.99999619, 57.00000381, 50.0]"
81,"[52.00000381, 52.00000381, 65.0, 48.0, 69.0, 59.99999619, 61.0, 81.0, 72.0, 61.0, 65.0, 77.375, 75.0, 79.0, 61.0, 50.0]"
82,"[67.5, 66.0, 77.5, 73.5, 88.0, 92.0, 92.125, 88.0, 84.5, 74.5, 65.0, 77.375, 80.0, 79.0, 80.5, 77.0]"
83,"[67.5, 66.0, 77.5, 73.5, 88.0, 90.0, 92.125, 88.0, 84.5, 74.5, 65.0, 77.375, 80.0, 79.0, 80.5, 77.0]"
84,"[67.5, 66.0, 77.5, 73.5, 88.0, 70.0, 92.125, 85.0, 84.5, 74.5, 65.0, 77.375, 80.0, 79.0, 63.0, 51.0]"
85,"[61.0, 66.0, 69.0, 73.5, 87.0, 59.99999619, 83.0, 69.0, 77.0, 74.5, 61.0, 77.375, 65.0, 79.0, 48.0, 45.0]"
86,"[46.0, 62.00000381, 57.00000381, 50.0, 53.0, 52.00000381, 70.0, 64.0, 62.00000381, 73.0, 54.0, 74.0, 45.0, 79.0, 46.0, 42.0]"
87,"[33.0, 43.0, 42.0, 47.00000381, 44.0, 51.0, 42.0, 52.00000381, 45.0, 65.0, 49.0, 63.0, 38.0, 59.0, 45.0, 43.0]"
