name,time,values
MAIN__VAE_TRAINING_epoch,0 days 00:00:19.326762,"[Timedelta('0 days 00:00:01.425631'), Timedelta('0 days 00:00:01.376018'), Timedelta('0 days 00:00:01.394415'), Timedelta('0 days 00:00:01.345826'), Timedelta('0 days 00:00:01.350275'), Timedelta('0 days 00:00:01.357137'), Timedelta('0 days 00:00:01.366900'), Timedelta('0 days 00:00:01.357351'), Timedelta('0 days 00:00:01.366712'), Timedelta('0 days 00:00:01.533732'), Timedelta('0 days 00:00:01.414547'), Timedelta('0 days 00:00:01.358874'), Timedelta('0 days 00:00:01.449265'), Timedelta('0 days 00:00:01.486338'), Timedelta('0 days 00:00:01.361879'), Timedelta('0 days 00:00:01.363684'), Timedelta('0 days 00:00:01.360118'), Timedelta('0 days 00:00:01.350833'), Timedelta('0 days 00:00:01.340013'), Timedelta('0 days 00:00:01.349460'), Timedelta('0 days 00:00:01.352203'), Timedelta('0 days 00:00:01.354674'), Timedelta('0 days 00:00:01.364223'), Timedelta('0 days 00:00:01.347970'), Timedelta('0 days 00:00:01.348359'), Timedelta('0 days 00:00:01.342051'), Timedelta('0 days 00:00:01.359618'), Timedelta('0 days 00:00:01.341275'), Timedelta('0 days 00:00:01.353502'), Timedelta('0 days 00:00:01.355523'), Timedelta('0 days 00:00:01.344629'), Timedelta('0 days 00:00:01.342552'), Timedelta('0 days 00:00:01.367113'), Timedelta('0 days 00:00:01.357186'), Timedelta('0 days 00:00:01.367525'), Timedelta('0 days 00:00:01.469720'), Timedelta('0 days 00:00:01.413762'), Timedelta('0 days 00:00:01.362895'), Timedelta('0 days 00:00:01.347258'), Timedelta('0 days 00:00:01.415956'), Timedelta('0 days 00:14:59.910425'), Timedelta('0 days 00:00:01.503729'), Timedelta('0 days 00:00:01.380102'), Timedelta('0 days 00:00:01.327131'), Timedelta('0 days 00:00:01.336020'), Timedelta('0 days 00:00:01.427086'), Timedelta('0 days 00:00:01.327147'), Timedelta('0 days 00:00:01.319546'), Timedelta('0 days 00:00:01.359032'), Timedelta('0 days 00:00:01.327394'), Timedelta('0 days 00:00:01.400847'), Timedelta('0 days 00:00:01.517402'), Timedelta('0 days 00:00:01.363402'), Timedelta('0 days 00:00:01.318682'), Timedelta('0 days 00:00:01.311783'), Timedelta('0 days 00:00:01.325772'), Timedelta('0 days 00:00:01.311035'), Timedelta('0 days 00:00:01.336991'), Timedelta('0 days 00:00:01.318458'), Timedelta('0 days 00:00:01.308595'), Timedelta('0 days 00:00:01.311064'), Timedelta('0 days 00:00:01.308236'), Timedelta('0 days 00:00:01.355881'), Timedelta('0 days 00:00:01.317642'), Timedelta('0 days 00:00:01.314714'), Timedelta('0 days 00:00:01.323040'), Timedelta('0 days 00:00:01.312299'), Timedelta('0 days 00:00:01.321238'), Timedelta('0 days 00:00:01.323022'), Timedelta('0 days 00:00:01.328165'), Timedelta('0 days 00:00:01.315907'), Timedelta('0 days 00:00:01.311076'), Timedelta('0 days 00:00:01.320333'), Timedelta('0 days 00:00:01.334786'), Timedelta('0 days 00:14:59.756025'), Timedelta('0 days 00:00:01.609628'), Timedelta('0 days 00:00:01.435766'), Timedelta('0 days 00:00:01.329986'), Timedelta('0 days 00:00:01.340941'), Timedelta('0 days 00:00:01.314328'), Timedelta('0 days 00:00:01.307976'), Timedelta('0 days 00:00:01.332724'), Timedelta('0 days 00:00:01.360131'), Timedelta('0 days 00:00:01.313060'), Timedelta('0 days 00:00:01.360081'), Timedelta('0 days 00:00:01.320942'), Timedelta('0 days 00:00:01.315101'), Timedelta('0 days 00:00:01.312380'), Timedelta('0 days 00:00:01.335193'), Timedelta('0 days 00:00:01.325539'), Timedelta('0 days 00:00:01.311952'), Timedelta('0 days 00:00:01.313862'), Timedelta('0 days 00:00:01.323442'), Timedelta('0 days 00:00:01.401159'), Timedelta('0 days 00:00:01.339513'), Timedelta('0 days 00:00:01.330718'), Timedelta('0 days 00:00:01.350695'), Timedelta('0 days 00:00:01.330919'), Timedelta('0 days 00:00:01.335127'), Timedelta('0 days 00:00:01.324002')]"
MAIN__VAE_TRAINING_global,0 days 00:32:25.942896,[Timedelta('0 days 00:32:25.942896')]
COPULA_TRAINING,0 days 00:00:05.055055,[Timedelta('0 days 00:00:05.055055')]
COPULA_GENERATION,0 days 00:01:59.240146,[Timedelta('0 days 00:01:59.240146')]
