,x_input
17,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 16.35793304, 16.35793304, 16.35793304, 20.50147247, 30.58232117, 10.85316372, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 12.86226368, 30.58232117, 30.58232117, 30.58232117, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
18,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 16.35793304, 16.35793304, 16.35793304, 20.50147247, 34.56784439, 30.58232117, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 10.85316372, 30.58232117, 25.40196991, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 20.50147247, 20.50147247, 30.58232117]"
19,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 16.35793304, 16.35793304, 16.35793304, 20.50147247, 25.40196991, 10.85316372, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 30.58232117, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991]"
20,"[20.50147247, 16.35793304, 16.35793304, 30.58232117, 16.35793304, 16.35793304, 16.35793304, 20.50147247, 34.56784439, 10.85316372, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 10.85316372, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
21,"[20.50147247, 16.35793304, 16.35793304, 30.58232117, 16.35793304, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 25.40196991, 25.40196991, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117]"
22,"[16.35793304, 20.50147247, 16.35793304, 25.40196991, 10.85316372, 16.35793304, 16.35793304, 20.50147247, 30.58232117, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 25.40196991, 16.35793304, 10.85316372, 30.58232117, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 30.58232117]"
23,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 10.85316372, 16.35793304, 16.35793304, 20.50147247, 30.58232117, 10.85316372, 20.50147247, 12.86226368, 20.50147247, 30.58232117, 12.86226368, 25.40196991, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 25.40196991]"
24,"[20.50147247, 16.35793304, 12.86226368, 20.50147247, 10.85316372, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 10.85316372, 12.86226368, 20.50147247, 30.58232117, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 25.40196991]"
25,"[16.35793304, 16.35793304, 12.86226368, 20.50147247, 30.58232117, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 10.85316372, 12.86226368, 25.40196991, 30.58232117, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 25.40196991]"
26,"[16.35793304, 16.35793304, 16.35793304, 20.50147247, 30.58232117, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 30.58232117, 12.86226368, 25.40196991, 30.58232117, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991]"
