,name_road,oldname_road,points
0,0,369,"[(30.66139729, 104.0782286), (30.66062591, 104.0797902)]"
1,1,1186,"[(30.67324036, 104.0634855), (30.67187144, 104.0625021)]"
2,2,1187,"[(30.67295026, 104.0640141), (30.67324036, 104.0634855)]"
3,3,1188,"[(30.67394402, 104.064009), (30.67324036, 104.0634855)]"
4,4,1575,"[(30.67201962, 104.066047), (30.67295026, 104.0640141)]"
5,5,1578,"[(30.66386644, 104.0728306), (30.66310274, 104.0744995)]"
6,6,1674,"[(30.66585121, 104.0810256), (30.66389343, 104.0798131)]"
7,7,1677,"[(30.66728632, 104.0819461), (30.66585121, 104.0810256)]"
8,8,1830,"[(30.66389343, 104.0798131), (30.66139729, 104.0782286)]"
9,9,1860,"[(30.6743258, 104.0709467), (30.67514299, 104.0692409)]"
10,10,2091,"[(30.67059491, 104.0707136), (30.6717139, 104.0682796)]"
11,11,2391,"[(30.66139729, 104.0782286), (30.65990178, 104.0773122)]"
12,12,2621,"[(30.6717139, 104.0682796), (30.67201962, 104.066047)]"
13,13,2885,"[(30.67529443, 104.06481), (30.67394402, 104.064009)]"
14,14,2904,"[(30.66221135, 104.0764857), (30.66139729, 104.0782286)]"
15,15,2905,"[(30.66310274, 104.0744995), (30.66221135, 104.0764857)]"
16,16,3413,"[(30.65916798, 104.078706), (30.66062591, 104.0797902)]"
17,17,3414,"[(30.65950096, 104.0821018), (30.66062591, 104.0797902)]"
18,18,3415,"[(30.66323476, 104.0814139), (30.66062591, 104.0797902)]"
19,19,3486,"[(30.66972895, 104.0723581), (30.67124245, 104.0733448)]"
20,20,3487,"[(30.66974975, 104.0766779), (30.67124245, 104.0733448)]"
21,21,3488,"[(30.67202107, 104.0715214), (30.67124245, 104.0733448)]"
22,22,3489,"[(30.67271422, 104.0744083), (30.67124245, 104.0733448)]"
23,23,3559,"[(30.66695776, 104.0748457), (30.66829634, 104.0756937)]"
24,24,3560,"[(30.66741927, 104.07744), (30.66829634, 104.0756937)]"
25,25,3561,"[(30.66972895, 104.0723581), (30.66829634, 104.0756937)]"
26,26,3562,"[(30.66974975, 104.0766779), (30.66829634, 104.0756937)]"
27,27,3650,"[(30.66947157, 104.0657402), (30.66946366, 104.0663159)]"
28,28,3651,"[(30.66950393, 104.0681003), (30.66946366, 104.0663159)]"
29,29,3652,"[(30.66221135, 104.0764857), (30.66468753, 104.0781096)]"
30,30,3653,"[(30.66389343, 104.0798131), (30.66468753, 104.0781096)]"
31,31,3654,"[(30.66566031, 104.0761884), (30.66468753, 104.0781096)]"
32,32,3655,"[(30.66658936, 104.0792781), (30.66468753, 104.0781096)]"
33,33,3744,"[(30.6563458, 104.085206), (30.65673383, 104.0842535)]"
34,34,3745,"[(30.65811967, 104.0811576), (30.65673383, 104.0842535)]"
35,35,3746,"[(30.65815153, 104.0851728), (30.65673383, 104.0842535)]"
36,36,3803,"[(30.6627216, 104.0697571), (30.66615043, 104.0697966)]"
37,37,3804,"[(30.66451347, 104.0732972), (30.66615043, 104.0697966)]"
38,38,3805,"[(30.66609783, 104.0683074), (30.66615043, 104.0697966)]"
39,39,3806,"[(30.66829663, 104.0713876), (30.66615043, 104.0697966)]"
40,40,3830,"[(30.66967255, 104.0811962), (30.67110531, 104.0821882)]"
41,41,3831,"[(30.66959784, 104.0854869), (30.67110531, 104.0821882)]"
